player_id,season,week,passing_yards
00-0033077,2021,1,403.0
00-0034855,2021,2,213.0
00-0036972,2021,2,186.0
00-0031280,2021,2,382.0
00-0032950,2021,2,247.0
00-0023459,2021,2,255.0
00-0037013,2021,2,210.0
00-0026498,2021,2,278.0
00-0031800,2021,2,336.0
00-0036389,2021,2,190.0
00-0033106,2021,2,246.0
00-0034857,2021,2,179.0
00-0033873,2021,2,343.0
00-0031237,2021,2,328.0
00-0019596,2021,2,276.0
00-0035710,2021,2,249.0
00-0019596,2021,3,432.0
00-0026143,2021,3,243.0
00-0026498,2021,3,343.0
00-0034796,2021,3,287.0
00-0033873,2021,3,260.0
00-0031280,2021,3,386.0
00-0036972,2021,3,270.0
00-0031345,2021,3,257.0
00-0034869,2021,3,304.0
00-0034855,2021,3,246.0
00-0031503,2021,3,128.0
00-0023459,2021,3,261.0
00-0036898,2021,4,87.0
00-0034855,2021,4,155.0
00-0037012,2021,4,157.0
00-0031237,2021,4,65.0
00-0034869,2021,4,301.0
00-0037013,2021,4,297.0
00-0031503,2021,4,226.0
00-0033106,2021,4,299.0
00-0036389,2021,4,387.0
00-0031280,2021,4,196.0
00-0031800,2021,4,290.0
00-0029604,2021,4,203.0
00-0033077,2021,4,188.0
00-0036945,2021,4,209.0
00-0022924,2021,4,232.0
00-0031503,2021,5,279.0
00-0033077,2021,5,302.0
00-0036898,2021,5,312.0
00-0037013,2021,5,192.0
00-0036972,2021,5,231.0
00-0033106,2021,5,203.0
00-0037012,2021,5,192.0
00-0034869,2021,5,177.0
00-0029701,2021,5,197.0
00-0023459,2021,5,344.0
00-0029263,2021,5,152.0
00-0036971,2021,5,273.0
00-0026143,2021,5,342.0
00-0026498,2021,5,365.0
00-0034796,2021,5,442.0
00-0029604,2021,5,275.0
00-0023459,2021,6,195.0
00-0036971,2021,6,319.0
00-0036898,2021,6,243.0
00-0033106,2021,6,202.0
00-0026498,2021,6,251.0
00-0022924,2021,6,229.0
00-0036389,2021,6,115.0
00-0032950,2021,6,223.0
00-0031237,2021,6,334.0
00-0034855,2021,6,234.0
00-0031800,2021,6,182.0
00-0023459,2021,7,274.0
00-0026498,2021,7,334.0
00-0035228,2021,7,261.0
00-0034796,2021,7,257.0
00-0026143,2021,7,336.0
00-0028986,2021,7,199.0
00-0033873,2021,7,206.0
00-0031345,2021,7,181.0
00-0036898,2021,7,135.0
00-0036389,2021,7,236.0
00-0031237,2021,7,187.0
00-0035710,2021,7,203.0
00-0031800,2021,7,268.0
00-0031503,2021,7,222.0
00-0036945,2021,7,184.0
00-0036972,2021,7,307.0
00-0026197,2021,7,82.0
00-0036972,2021,8,217.0
00-0031237,2021,8,213.0
00-0031345,2021,8,322.0
00-0035710,2021,8,222.0
00-0026143,2021,8,146.0
00-0023459,2021,8,184.0
00-0036212,2021,8,205.0
00-0033873,2021,8,275.0
00-0034857,2021,8,249.0
00-0036898,2021,8,310.0
00-0026498,2021,8,305.0
00-0033106,2021,8,222.0
00-0022924,2021,8,266.0
00-0035228,2021,8,274.0
00-0034869,2021,8,129.0
00-0019596,2021,8,375.0
00-0034401,2021,8,405.0
00-0031237,2021,9,249.0
00-0036972,2021,9,139.0
00-0035710,2021,9,110.0
00-0029701,2021,9,143.0
00-0033119,2021,9,244.0
00-0027688,2021,9,249.0
00-0034855,2021,9,218.0
00-0034869,2021,9,172.0
00-0036945,2021,9,291.0
00-0033873,2021,9,166.0
00-0036389,2021,9,162.0
00-0026143,2021,9,343.0
00-0036971,2021,9,118.0
00-0022924,2021,9,205.0
00-0032950,2021,9,272.0
00-0026143,2021,10,117.0
00-0033873,2021,10,406.0
00-0034401,2021,10,251.0
00-0027688,2021,10,107.0
00-0023459,2021,10,292.0
00-0033077,2021,10,296.0
00-0019596,2021,10,220.0
00-0036971,2021,10,162.0
00-0029263,2021,10,161.0
00-0034855,2021,10,73.0
00-0031800,2021,10,256.0
00-0032950,2021,10,180.0
00-0036355,2021,10,195.0
00-0032156,2021,10,298.0
00-0032950,2021,11,106.0
00-0031345,2021,11,176.0
00-0036972,2021,11,207.0
00-0026143,2021,11,153.0
00-0036971,2021,11,158.0
00-0033873,2021,11,260.0
00-0031800,2021,11,206.0
00-0031280,2021,11,215.0
00-0028118,2021,11,107.0
00-0026158,2021,11,291.0
00-0036442,2021,11,148.0
00-0023459,2021,11,385.0
00-0035710,2021,11,167.0
00-0036212,2021,11,273.0
00-0034796,2021,12,165.0
00-0032156,2021,12,163.0
00-0031237,2021,12,129.0
00-0031280,2021,12,373.0
00-0033077,2021,12,375.0
00-0022924,2021,12,263.0
00-0029604,2021,12,238.0
00-0031345,2021,12,230.0
00-0035710,2021,12,202.0
00-0036355,2021,12,303.0
00-0037013,2021,12,145.0
00-0027973,2021,12,317.0
00-0031237,2021,13,257.0
00-0033873,2021,13,184.0
00-0029263,2021,13,231.0
00-0032950,2021,13,158.0
00-0037013,2021,13,226.0
00-0019596,2021,13,368.0
00-0029604,2021,13,340.0
00-0033077,2021,13,238.0
00-0036212,2021,13,244.0
00-0031280,2021,13,249.0
00-0031800,2021,13,196.0
00-0022924,2021,13,236.0
00-0035228,2021,13,123.0
00-0034796,2021,13,253.0
00-0036442,2021,13,300.0
00-0027939,2021,14,178.0
00-0026143,2021,14,190.0
00-0026498,2021,14,287.0
00-0031237,2021,14,179.0
00-0034855,2021,14,190.0
00-0036898,2021,14,331.0
00-0037013,2021,14,202.0
00-0034857,2021,14,308.0
00-0023459,2021,14,341.0
00-0022924,2021,14,308.0
00-0036971,2021,14,221.0
00-0033873,2021,14,258.0
00-0031345,2021,14,296.0
00-0036355,2021,14,275.0
00-0035228,2021,15,257.0
00-0036898,2021,15,209.0
00-0034857,2021,15,210.0
00-0036389,2021,15,296.0
00-0036442,2021,15,157.0
00-0022924,2021,15,148.0
00-0037013,2021,15,170.0
00-0035993,2021,15,215.0
00-0027939,2021,15,156.0
00-0026143,2021,15,236.0
00-0031280,2021,15,236.0
00-0033319,2021,15,147.0
00-0031237,2021,15,98.0
00-0019596,2021,15,214.0
00-0036212,2021,15,196.0
00-0029604,2021,15,87.0
00-0033077,2021,15,217.0
00-0037013,2021,16,102.0
00-0036442,2021,16,525.0
00-0030520,2021,16,93.0
00-0036971,2021,16,280.0
00-0022924,2021,16,159.0
00-0033873,2021,16,258.0
00-0036355,2021,16,336.0
00-0029701,2021,16,209.0
00-0036972,2021,16,145.0
00-0036197,2021,16,25.0
00-0031280,2021,16,201.0
00-0036212,2021,16,198.0
00-0034855,2021,16,222.0
00-0023459,2021,16,202.0
00-0034869,2021,16,190.0
00-0029604,2021,16,315.0
00-0034857,2021,16,314.0
00-0036898,2021,16,254.0
00-0034857,2021,17,120.0
00-0032950,2021,17,148.0
00-0036971,2021,17,193.0
00-0031280,2021,17,255.0
00-0033077,2021,17,226.0
00-0036972,2021,17,227.0
00-0036355,2021,17,237.0
00-0023459,2021,17,288.0
00-0027973,2021,17,173.0
