player_id,season,week,position,fantasy_ppr
00-0034382,2019,9,LB,0.0
00-0034396,2019,9,LB,0.0
00-0034389,2019,9,DB,0.0
00-0034376,2019,9,CB,0.0
00-0034397,2019,9,DT,0.0
00-0032107,2022,5,DE,0.0
00-0030757,2022,5,DT,0.0
00-0032790,2022,5,DB,0.0
00-0031203,2022,5,K,0.0
00-0037097,2022,5,P,0.0
00-0037825,2022,5,C,0.0
00-0034753,2022,5,TE,22.9
00-0032775,2022,5,WR,1.8
00-0036331,2022,5,WR,12.8
00-0034540,2019,9,DB,0.0
00-0039070,2025,15,DT,0.0
00-0039140,2025,15,CB,0.0
00-0039066,2025,15,TE,0.0
00-0039110,2025,15,DT,0.0
00-0039062,2025,15,WR,3.5
00-0034473,2019,9,LB,0.0
00-0034490,2019,9,LB,0.0
00-0034613,2019,9,TE,2.2
00-0035112,2022,5,OT,0.0
00-0033118,2022,5,RB,3.7
00-0036158,2022,5,RB,4.4
00-0039309,2025,15,DT,0.0
00-0036199,2022,5,SAF,0.0
00-0036157,2022,5,LB,0.0
00-0033110,2022,5,TE,11.600000000000001
00-0032889,2022,5,DE,0.0
00-0034730,2019,9,DB,0.0
00-0039491,2025,15,WR,14.0
00-0039146,2025,15,WR,10.5
00-0039338,2025,15,TE,8.8
00-0039407,2025,15,RB,0.4
00-0039423,2025,15,DT,0.0
00-0039368,2025,15,LB,0.0
00-0034750,2019,9,RB,1.2000000000000002
00-0034756,2019,9,CB,0.0
00-0034678,2019,9,G,0.0
00-0034773,2019,9,DT,0.0
00-0034743,2019,9,ILB,0.0
00-0034777,2019,9,WR,7.2
00-0035591,2022,5,LB,0.0
00-0036904,2022,5,CB,0.0
00-0035609,2022,5,LB,2.2
00-0032943,2022,5,P,0.48
00-0033045,2022,5,RB,7.800000000000001
00-0039895,2025,15,DT,0.0
00-0034779,2019,9,DB,0.0
00-0034792,2019,9,DB,0.0
00-0039746,2025,15,RB,0.0
00-0039686,2025,15,TE,0.0
00-0039898,2025,15,CB,0.0
00-0039906,2025,15,DT,0.0
00-0039681,2025,15,DB,0.0
00-0034789,2019,9,FS,0.0
00-0034815,2019,9,MLB,0.0
