player_id,game_id,season,week,y_true,y_pred,fold_idx,xgb_pred,lgbm_pred,catboost_pred,tft_pred
00-0033090,2021_01_MIA_NE,2021,1,6.1,8.9142978217516,0,10.96269,8.864296763896757,8.912987244295216,-0.0002435661299386
00-0033110,2021_01_CHI_LA,2021,1,11.8,9.312312329436029,0,9.658037,9.084869304179144,10.00272436597307,17.52974510192871
00-0033288,2021_01_SF_DET,2021,1,11.8,10.51494973693227,0,9.465365,9.444426604216597,10.125902500932868,-0.0003223400563001
00-0033439,2021_01_JAX_HOU,2021,1,10.7,8.32981368207663,0,9.8258915,8.686003539118804,8.256107150404524,2.2963573932647705
00-0033455,2021_01_ARI_TEN,2021,1,4.9,4.294400377004581,0,4.806756,4.9446884720696165,4.07885953830341,-0.0003664468531496
00-0033858,2021_01_MIA_NE,2021,1,9.8,8.55188994690986,0,10.55847,9.005434188263937,9.030298608889773,11.05365753173828
00-0033885,2021_01_CLE_KC,2021,1,10.6,4.317447801772182,0,8.159561,5.834811158244398,5.1205853504062215,11.36912441253662
00-0033895,2021_01_SEA_IND,2021,1,10.0,7.404011714045133,0,10.023063,9.043108517774732,8.209028629229532,20.144365310668945
00-0034159,2021_01_SEA_IND,2021,1,6.7,7.21084564113521,0,6.661339,5.996477584428701,7.19878449317684,-0.0003059154842048
00-0034270,2021_01_MIN_CIN,2021,1,8.100000000000001,8.964778742830475,0,9.357413,8.707188133469568,8.70052410751461,-0.000205808042665
00-0034351,2021_01_PHI_ATL,2021,1,14.2,7.569163449103736,0,10.70586,8.954202781441184,7.938681048557511,9.419732093811035
00-0034364,2021_01_JAX_HOU,2021,1,0.0,5.595491367284989,0,6.023464,5.531442215661455,5.8585537820645115,6.1388444900512695
00-0034365,2021_01_NYJ_CAR,2021,1,2.7,5.870064217385236,0,4.9783835,5.547720042400505,5.734946227123241,2.57356595993042
00-0034383,2021_01_DAL_TB,2021,1,10.5,7.647288944280917,0,7.6489544,6.4016523960571154,7.724383663906423,-0.0004389020032249
00-0034753,2021_01_BAL_LV,2021,1,5.0,10.215771159209503,0,11.119058,9.35533637641289,10.165061580405258,-0.0002427389408694
00-0034766,2021_01_MIN_CIN,2021,1,0.0,3.6770837783463466,0,4.3041344,4.064337436907319,3.974645758911154,6.327144622802734
00-0034798,2021_01_MIA_NE,2021,1,1.9,6.090205937945311,0,6.698222,5.951131975863384,7.238854076717338,21.234474182128903
00-0034829,2021_01_MIA_NE,2021,1,0.0,4.752781634103784,0,5.1237164,4.327236165141853,5.558271247247184,12.730859756469728
00-0034830,2021_01_PHI_ATL,2021,1,6.800000000000001,4.81927308582219,0,5.4322386,5.1550811695336165,5.003020473886929,5.476268291473389
00-0034988,2021_01_DEN_NYG,2021,1,0.0,4.255584717628593,0,4.301393,4.0948236199917085,4.616486605978144,6.985090732574463
00-0035229,2021_01_SF_DET,2021,1,25.700000000000003,8.19052994944014,0,12.439966,9.309996337229816,9.489225666454972,21.082122802734375
00-0035329,2021_01_LAC_WAS,2021,1,0.0,4.804059339727033,0,5.384185,5.248533243511921,4.634557752903417,-0.0002437743678456
00-0035644,2021_01_DEN_NYG,2021,1,12.2,9.630453421962688,0,11.683004,9.185378024941397,9.71081641858791,-0.0002925188164226
00-0035689,2021_01_PIT_BUF,2021,1,8.100000000000001,5.650103622731772,0,5.7392693,5.354293620382216,5.569369773732044,-0.0001136999198934
00-0036290,2021_01_CHI_LA,2021,1,9.2,9.909170465229902,0,11.402786,8.887306945831106,10.050229810814052,-0.0005867979489266
00-0036422,2021_01_GB_NO,2021,1,4.8,10.047216354521591,0,10.615367,9.259633240384696,9.917736449376694,-2.6126974262297153e-05
00-0036423,2021_01_DEN_NYG,2021,1,8.6,5.552118264426477,0,5.094919,5.547720042400505,5.419314651275023,2.56101655960083
00-0027061,2021_02_DAL_LAC,2021,2,5.800000000000001,9.285059836306566,0,13.294785,8.893773252622838,10.36064088096035,10.55599594116211
00-0027656,2021_02_ATL_TB,2021,2,19.9,13.418335459769814,0,15.818314,13.070449943117191,13.271399451960551,-0.0002628139336593
00-0027981,2021_02_NYG_WAS,2021,2,4.5,6.787498037256313,0,8.377971,9.165475613109823,6.763762195506431,12.70992660522461
00-0030061,2021_02_SF_PHI,2021,2,1.6,5.4640287446697995,0,7.334885,6.371665446110143,6.063685113265457,12.515579223632812
