player_name,position,team,adp
Michael Pittman Jr.,WR,PIT,87.2
Cooper Kupp,WR,SEA,92.0
Dallas Defense,DEF,DAL,92.5
Josh Downs,WR,IND,93.4
Evan Engram,TE,DEN,93.5
J.K. Dobbins,RB,DEN,94.0
Jared Goff,QB,DET,97.8
NY Giants Defense,DEF,NYG,98.7
Jordan Addison,WR,MIN,98.8
Zach Charbonnet,RB,SEA,99.4
Chris Godwin Jr.,WR,TB,99.8
Keon Coleman,WR,BUF,101.2
Travis Etienne Jr.,RB,NO,101.2
Caleb Williams,QB,CHI,102.3
Jayden Reed,WR,GB,103.6
Jordan Mason,RB,MIN,104.9
Darnell Mooney,WR,NYG,105.9
Rashid Shaheed,WR,SEA,106.0
Denver Defense,DEF,DEN,106.1
Tyler Warren,TE,IND,106.2
J.J. McCarthy,QB,MIN,107.1
Jacory Croskey-Merritt,RB,WAS,107.5
Justin Herbert,QB,LAC,110.1
Justin Fields,QB,KC,110.4
Drake Maye,QB,NE,110.4
Joe Mixon,RB,FA,113.3
Tucker Kraft,TE,GB,113.9
Pittsburgh Defense,DEF,PIT,114.6
Javonte Williams,RB,DAL,116.3
Keenan Allen,WR,FA,116.5
Philadelphia Defense,DEF,PHI,116.6
Baltimore Defense,DEF,BAL,118.0
Jake Ferguson,TE,DAL,118.4
Rhamondre Stevenson,RB,NE,119.7
Christian Kirk,WR,SF,121.0
Trevor Lawrence,QB,JAX,121.1
Cedric Tillman,WR,CLE,121.1
Jordan Love,QB,GB,122.3
Quinshon Judkins,RB,CLE,125.4
Marvin Mims Jr.,WR,DEN,125.9
Wan'Dale Robinson,WR,TEN,127.2
Hollywood Brown,WR,FA,127.9
Buffalo Defense,DEF,BUF,128.3
Cam Skattebo,RB,NYG,129.2
C.J. Stroud,QB,HOU,129.4
Jayden Higgins,WR,HOU,129.8
Brandon Aubrey,PK,DAL,130.1
Jerome Ford,RB,WAS,130.8
Dallas Goedert,TE,PHI,131.1
Adam Thielen,WR,FA,131.3
Romeo Doubs,WR,NE,132.5
Rashod Bateman,WR,BAL,133.2
Tank Bigsby,RB,PHI,134.3
Nick Chubb,RB,FA,136.1
Houston Defense,DEF,HOU,137.1
Dalton Kincaid,TE,BUF,137.5
Rachaad White,RB,WAS,138.4
Tua Tagovailoa,QB,ATL,138.5
Tyjae Spears,RB,TEN,139.0
Matt Gay,PK,LV,140.5
Joshua Palmer,WR,BUF,140.6
Xavier Legette,WR,CAR,140.7
Colston Loveland,TE,CHI,141.2
Tyler Bass,PK,BUF,141.9
Trey Benson,RB,ARI,142.2
Kyle Pitts Sr.,TE,ATL,142.3
DeMario Douglas,WR,NE,142.7
Jaydon Blue,RB,DAL,144.0
Jake Bates,PK,DET,145.0
Harrison Butker,PK,KC,145.3
Green Bay Defense,DEF,GB,145.6
Minnesota Defense,DEF,MIN,146.0
Brandon Aiyuk,WR,SF,146.1
Detroit Defense,DEF,DET,146.1
Dylan Sampson,RB,CLE,146.4
Chase McLaughlin,PK,TB,146.9
Cameron Dicker,PK,LAC,147.8
Chris Rodriguez Jr.,RB,JAX,148.0
Braelon Allen,RB,NYJ,148.0
Jake Elliott,PK,PHI,149.0
Brian Robinson Jr.,RB,FA,149.0
NY Jets Defense,DEF,NYJ,149.2
Geno Smith,QB,NYJ,149.6
Matthew Stafford,QB,LAR,149.7
Zach Ertz,TE,FA,149.8
Dont'e Thornton Jr.,WR,LV,150.1
Isaiah Likely,TE,NYG,150.2
Hunter Henry,TE,NE,150.2
Luther Burden III,WR,CHI,150.7
Will Shipley,RB,PHI,151.2
Mason Taylor,TE,NYJ,151.9
Jalen Coker,WR,CAR,152.0
Michael Wilson,WR,ARI,152.3
LA Rams Defense,DEF,LAR,152.3
Bhayshul Tuten,RB,JAX,152.7
Ollie Gordon II,RB,MIA,152.9
Jonnu Smith,TE,FA,152.9
Michael Penix Jr.,QB,ATL,153.2
Bryce Young,QB,CAR,153.3
Tory Horton,WR,SEA,153.6
Najee Harris,RB,FA,153.9
Tyler Allgeier,RB,ARI,154.5
Evan McPherson,PK,CIN,154.6
Chig Okonkwo,TE,WAS,154.7
Tampa Bay Defense,DEF,TB,154.9
Chicago Defense,DEF,CHI,155.1
Tre' Harris,WR,LAC,155.4
Ray Davis,RB,BUF,155.9
Cleveland Defense,DEF,CLE,155.9
Isaac TeSlaa,WR,DET,156.7
Kyle Monangai,RB,CHI,156.8
San Francisco Defense,DEF,SF,156.9
Arizona Defense,DEF,ARI,157.1
Woody Marks,RB,HOU,157.3
Troy Franklin,WR,DEN,157.7
Cam Little,PK,JAX,157.9
New England Defense,DEF,NE,158.4
Amari Cooper,WR,FA,159.4
Washington Defense,DEF,WAS,159.5
Cam Ward,QB,TEN,159.8
Tyler Loop,PK,BAL,159.8
Brenton Strange,TE,JAX,161.3
Chris Boswell,PK,PIT,161.6
LA Chargers Defense,DEF,LAC,162.3
Quentin Johnston,WR,LAC,162.8
Ka'imi Fairbairn,PK,HOU,163.0
Tyler Lockett,WR,FA,163.5
Aaron Rodgers,QB,FA,163.6
Kansas City Defense,DEF,KC,163.6
Seattle Defense,DEF,SEA,164.2
Brandon McManus,PK,GB,164.3
Jaxson Dart,QB,NYG,165.1
Kyle Williams,WR,NE,165.5
Darius Slayton,WR,NYG,165.9
Younghoe Koo,PK,FA,166.1
Andrei Iosivas,WR,CIN,166.3
Joshua Karty,PK,ARI,166.5
DeAndre Hopkins,WR,FA,166.5
Sam Darnold,QB,SEA,166.7
Mike Gesicki,TE,CIN,166.7
Wil Lutz,PK,DEN,166.9
Pat Bryant,WR,DEN,167.2
Justice Hill,RB,BAL,167.3
Calvin Austin III,WR,NYG,167.7
Ray-Ray McCloud III,WR,FA,167.8
Darren Waller,TE,FA,168.4
Cade Otton,TE,TB,168.4
Will Reichard,PK,MIN,168.5
Jack Bech,WR,LV,170.0
Jake Moody,PK,WAS,170.3
Rico Dowdle,RB,PIT,171.1
Daniel Carlson,PK,FA,171.1
Jaylen Wright,RB,MIA,171.8
Alec Pierce,WR,IND,173.1
Kareem Hunt,RB,FA,173.8
Keaton Mitchell,RB,LAC,174.3
Elic Ayomanor,WR,TEN,177.0
