player_name,position,team,adp
Austin Ekeler,RB,LAC,61.7
Dede Westbrook,WR,JAX,62.7
Baker Mayfield,QB,CLE,63.2
Hunter Henry,TE,LAC,63.3
A.J. Green,WR,CIN,63.8
Jarvis Landry,WR,CLE,64.8
DJ Moore,WR,CAR,67.2
Matt Ryan,QB,ATL,69.2
Derrius Guice,RB,WAS,69.8
Jared Cook,TE,NO,70.6
Tarik Cohen,RB,CHI,71.0
Alshon Jeffery,WR,PHI,71.9
Drew Brees,QB,NO,73.9
Carson Wentz,QB,PHI,74.6
Vance McDonald,TE,PIT,75.1
Robbie Chosen,WR,NYJ,75.9
Latavius Murray,RB,NO,76.4
Allen Robinson II,WR,CHI,76.6
Emmanuel Sanders,WR,SF,80.6
Jared Goff,QB,LAR,81.5
Will Fuller,WR,HOU,81.6
Kenyan Drake,RB,ARI,82.9
Tony Pollard,RB,DAL,83.3
David Njoku,TE,CLE,83.5
Devin Singletary,RB,BUF,83.9
Matt Breida,RB,SF,84.8
Darwin Thompson,RB,KC,86.0
Curtis Samuel,WR,CAR,88.0
Russell Wilson,QB,SEA,88.4
Christian Kirk,WR,ARI,89.9
LeSean McCoy,RB,KC,90.8
Sterling Shepard,WR,NYG,92.2
Chicago Defense,DEF,CHI,92.4
Darrell Henderson Jr.,RB,LAR,93.0
Cam Newton,QB,CAR,94.4
Rashaad Penny,RB,SEA,95.3
Austin Hooper,TE,ATL,95.4
Sammy Watkins,WR,KC,96.1
Lamar Jackson,QB,BAL,97.6
Geronimo Allison,WR,GB,98.7
Marquez Valdes-Scantling,WR,GB,100.6
Kareem Hunt,RB,CLE,100.8
James Washington,WR,PIT,101.3
Jordan Howard,RB,PHI,103.7
Jameis Winston,QB,TB,105.1
Marvin Jones Jr.,WR,DET,105.3
LA Rams Defense,DEF,LAR,105.6
Larry Fitzgerald,WR,ARI,106.5
Ben Roethlisberger,QB,PIT,106.8
Royce Freeman,RB,DEN,108.1
Jacksonville Defense,DEF,JAX,109.3
Dante Pettis,WR,SF,109.8
Corey Davis,WR,TEN,110.8
Kyler Murray,QB,ARI,110.9
Kalen Ballage,RB,MIA,113.5
Michael Gallup,WR,DAL,113.8
Tom Brady,QB,NE,114.6
Delanie Walker,TE,TEN,115.4
Philip Rivers,QB,LAC,116.1
Baltimore Defense,DEF,BAL,117.0
Eric Ebron,TE,IND,117.5
Jaylen Samuels,RB,PIT,119.0
DeSean Jackson,WR,PHI,119.4
Donte Moncrief,WR,CAR,119.8
Justin Jackson,RB,LAC,119.9
Justice Hill,RB,BAL,120.7
Golden Tate,WR,NYG,123.3
Cleveland Defense,DEF,CLE,126.0
T.J. Hockenson,TE,DET,126.1
Courtland Sutton,WR,DEN,126.2
Dak Prescott,QB,DAL,127.2
Alexander Mattison,RB,MIN,127.3
Jamison Crowder,WR,NYJ,128.8
Kirk Cousins,QB,MIN,130.7
Peyton Barber,RB,TB,131.3
Tyrell Williams,WR,LV,131.4
DK Metcalf,WR,SEA,131.8
Adrian Peterson,RB,WAS,133.1
Minnesota Defense,DEF,MIN,134.0
Anthony Miller,WR,CHI,134.4
John Brown,WR,BUF,136.2
LA Chargers Defense,DEF,LAC,137.4
Mecole Hardman Jr.,WR,KC,137.7
Dallas Defense,DEF,DAL,137.9
Mitchell Trubisky,QB,CHI,139.2
Mark Andrews,TE,BAL,142.1
Dion Lewis,RB,TEN,142.9
Greg Zuerlein,PK,LAR,144.3
Denver Defense,DEF,DEN,145.8
Josh Allen,QB,BUF,145.8
Keke Coutee,WR,HOU,146.2
Jimmy Garoppolo,QB,SF,147.5
Greg Olsen,TE,CAR,148.9
Justin Tucker,PK,BAL,149.7
Damien Harris,RB,NE,151.4
Harrison Butker,PK,KC,151.6
Deebo Samuel Sr.,WR,SF,151.8
Carlos Hyde,RB,HOU,151.9
Frank Gore,RB,BUF,152.3
Trey Burton,TE,CHI,152.4
N'Keal Harry,WR,NE,152.8
Ito Smith,RB,ATL,154.2
Kyle Rudolph,TE,MIN,154.9
Darren Waller,TE,LV,155.8
Ty Montgomery II,RB,NYJ,157.1
Derek Carr,QB,LV,157.4
Stephen Gostkowski,PK,NE,157.5
Malcolm Brown,RB,LAR,157.6
Wil Lutz,PK,NO,157.6
Dare Ogunbowale,RB,TB,157.9
Jordan Reed,TE,WAS,158.0
Philadelphia Defense,DEF,PHI,158.1
Ronald Jones,RB,TB,158.1
New England Defense,DEF,NE,159.1
Nyheim Hines,RB,IND,159.2
Cole Beasley,WR,BUF,159.6
Pittsburgh Defense,DEF,PIT,160.5
Mohamed Sanu,WR,NE,160.7
Matthew Stafford,QB,DET,160.8
Demaryius Thomas,WR,NYJ,161.4
Kenny Stills,WR,HOU,161.5
Tre'Quan Smith,WR,NO,161.6
Seattle Defense,DEF,SEA,162.7
New Orleans Defense,DEF,NO,162.8
Ka'imi Fairbairn,PK,HOU,162.9
Marquise Goodwin,WR,SF,163.0
Sam Darnold,QB,NYJ,164.2
Houston Defense,DEF,HOU,165.4
Buffalo Defense,DEF,BUF,165.5
Adam Humphries,WR,TEN,166.9
Jake Elliott,PK,PHI,167.2
Michael Badgley,PK,LAC,168.2
Mason Crosby,PK,GB,169.2
Robbie Gould,PK,SF,169.8
Giorgio Tavecchio,PK,ATL,170.5
Jason Myers,PK,SEA,170.7
Dan Bailey,PK,MIN,172.0
Brett Maher,PK,DAL,172.7
