player_name,position,team,adp
Tevin Coleman,RB,SF,96.4
Alexander Mattison,RB,MIN,96.7
Kerryon Johnson,RB,DET,97.2
Hunter Henry,TE,LAC,98.0
Emmanuel Sanders,WR,NO,100.0
Chase Edmonds,RB,ARI,101.1
Damien Harris,RB,NE,101.1
Josh Allen,QB,BUF,101.5
Jamison Crowder,WR,NYJ,102.6
Henry Ruggs III,WR,LV,104.5
Mecole Hardman Jr.,WR,KC,106.1
San Francisco Defense,DEF,SF,106.3
Sony Michel,RB,NE,107.4
Carson Wentz,QB,PHI,107.9
Jalen Reagor,WR,PHI,109.5
Matthew Stafford,QB,DET,111.3
AJ Dillon,RB,GB,111.9
Jerry Jeudy,WR,DEN,112.3
Darius Slayton,WR,NYG,113.2
Darrell Henderson Jr.,RB,LAR,114.1
Jared Cook,TE,NO,115.2
Christian Kirk,WR,ARI,116.9
Adrian Peterson,RB,DET,118.4
Sterling Shepard,WR,NYG,118.9
Baltimore Defense,DEF,BAL,119.3
Tony Pollard,RB,DAL,119.4
Noah Fant,TE,DEN,119.6
Pittsburgh Defense,DEF,PIT,119.6
Boston Scott,RB,PHI,120.1
Cam Newton,QB,NE,120.7
Justin Jefferson,WR,MIN,121.5
Daniel Jones,QB,NYG,125.4
Buffalo Defense,DEF,BUF,126.3
Bryce Love,RB,WAS,126.8
Anthony Miller,WR,CHI,126.9
DeSean Jackson,WR,PHI,127.1
Ben Roethlisberger,QB,PIT,129.5
Preston Williams,WR,MIA,130.9
Duke Johnson,RB,HOU,131.0
Allen Lazard,WR,GB,131.0
Ke'Shawn Vaughn,RB,TB,134.4
Ryquell Armstead,RB,JAX,135.3
Joe Burrow,QB,CIN,135.7
Brandon Aiyuk,WR,SF,135.9
Austin Hooper,TE,CLE,136.7
Chicago Defense,DEF,CHI,136.7
Justin Jackson,RB,LAC,137.6
Nyheim Hines,RB,IND,139.9
New England Defense,DEF,NE,140.2
Sammy Watkins,WR,KC,140.5
T.J. Hockenson,TE,DET,143.1
Justin Tucker,PK,BAL,144.5
Baker Mayfield,QB,CLE,144.7
Golden Tate,WR,NYG,145.3
Mike Gesicki,TE,MIA,146.5
Jared Goff,QB,LAR,147.2
Harrison Butker,PK,KC,147.5
LA Chargers Defense,DEF,LAC,147.5
John Brown,WR,BUF,149.1
Chris Thompson,RB,JAX,149.6
Michael Pittman Jr.,WR,IND,151.7
Darrel Williams,RB,KC,152.3
Jerick McKinnon,RB,SF,152.3
Benny Snell Jr.,RB,PIT,152.9
Breshad Perriman,WR,NYJ,153.0
Jonnu Smith,TE,TEN,153.6
Jack Doyle,TE,IND,153.7
Chris Herndon,TE,NYJ,153.9
Tampa Bay Defense,DEF,TB,154.2
Blake Jarwin,TE,DAL,154.4
Joshua Kelley,RB,LAC,154.5
Wil Lutz,PK,NO,155.7
LeSean McCoy,RB,TB,156.0
Greg Zuerlein,PK,DAL,156.1
Ryan Tannehill,QB,TEN,156.4
Carlos Hyde,RB,SEA,156.5
Jimmy Garoppolo,QB,SF,157.2
Parris Campbell,WR,IND,158.4
N'Keal Harry,WR,NE,159.0
Gardner Minshew II,QB,JAX,159.2
Philip Rivers,QB,IND,159.6
Seattle Defense,DEF,SEA,160.3
Dallas Defense,DEF,DAL,161.0
DeAndre Washington,RB,MIA,161.4
Mike Williams,WR,LAC,161.9
Robbie Gould,PK,SF,162.3
Drew Lock,QB,DEN,162.4
Larry Fitzgerald,WR,ARI,162.8
Minnesota Defense,DEF,MIN,163.1
New Orleans Defense,DEF,NO,163.6
Curtis Samuel,WR,CAR,163.9
Robbie Chosen,WR,CAR,163.9
Bryan Edwards,WR,LV,164.2
Matt Gay,PK,LAR,166.0
Kansas City Defense,DEF,KC,167.1
Zane Gonzalez,PK,ARI,167.8
Matt Prater,PK,DET,167.9
Younghoe Koo,PK,ATL,168.8
Philadelphia Defense,DEF,PHI,169.1
Indianapolis Defense,DEF,IND,170.3
Chris Boswell,PK,PIT,170.4
Ka'imi Fairbairn,PK,HOU,172.5
Jake Elliott,PK,PHI,173.1
Brandon McManus,PK,DEN,173.8
Dan Bailey,PK,MIN,173.9
