player_name,position,team,adp
Jarvis Landry,WR,CLE,118.2
Trey Lance,QB,SF,118.2
Irv Smith Jr.,TE,MIN,120.3
Nyheim Hines,RB,IND,120.6
Giovani Bernard,RB,TB,120.9
Rhamondre Stevenson,RB,NE,121.3
Washington Defense,DEF,WAS,123.1
Henry Ruggs III,WR,LV,123.9
Justin Fields,QB,CHI,125.6
Marvin Jones Jr.,WR,JAX,126.0
Chuba Hubbard,RB,CAR,127.6
James White,RB,NE,128.8
Will Fuller,WR,MIA,129.2
Baltimore Defense,DEF,BAL,129.7
Matt Ryan,QB,ATL,129.8
Latavius Murray,RB,BAL,130.6
Jonnu Smith,TE,NE,130.7
Elijah Moore,WR,NYJ,132.6
Russell Gage Jr.,WR,ATL,133.8
Baker Mayfield,QB,CLE,134.3
Justin Tucker,PK,BAL,135.4
Michael Gallup,WR,DAL,135.4
Jameis Winston,QB,NO,137.3
Indianapolis Defense,DEF,IND,137.5
Rashaad Penny,RB,SEA,137.9
San Francisco Defense,DEF,SF,137.9
Harrison Butker,PK,KC,138.7
Tevin Coleman,RB,NYJ,139.0
Younghoe Koo,PK,ATL,139.6
Curtis Samuel,WR,WAS,140.2
Greg Zuerlein,PK,DAL,140.6
Hollywood Brown,WR,BAL,140.9
Rob Gronkowski,TE,TB,142.8
Ben Roethlisberger,QB,PIT,143.2
Jason Sanders,PK,MIA,143.9
Gabe Davis,WR,BUF,144.3
Trevor Lawrence,QB,JAX,144.7
Damien Williams,RB,CHI,146.0
Rondale Moore,WR,ARI,146.4
Ryan Succop,PK,TB,146.5
Bryan Edwards,WR,LV,148.2
Rodrigo Blankenship,PK,IND,148.5
New England Defense,DEF,NE,148.8
Terrace Marshall Jr.,WR,CAR,149.0
Zach Wilson,QB,NYJ,149.1
Hunter Henry,TE,NE,149.7
Cleveland Defense,DEF,CLE,150.0
Tyler Bass,PK,BUF,150.2
Darrel Williams,RB,KC,150.3
Evan Engram,TE,NYG,150.9
Cole Beasley,WR,BUF,150.9
Adam Trautman,TE,NO,151.9
Mark Ingram II,RB,NO,154.2
Justin Jackson,RB,LAC,154.6
Kenny Gainwell,RB,PHI,154.8
Matt Prater,PK,ARI,154.9
Jared Cook,TE,LAC,155.0
Buffalo Defense,DEF,BUF,155.3
Devontae Booker,RB,NYG,155.5
A.J. Green,WR,ARI,156.6
Gerald Everett,TE,SEA,156.6
Zach Ertz,TE,ARI,157.1
Pat Freiermuth,TE,PIT,157.3
Mac Jones,QB,NE,157.4
Miami Defense,DEF,MIA,158.2
Amon-Ra St. Brown,WR,DET,158.5
Tony Jones,RB,NO,158.8
Marlon Mack,RB,IND,158.8
Mason Crosby,PK,GB,159.2
Randall Cobb,WR,GB,159.7
Jerick McKinnon,RB,KC,159.7
Denver Defense,DEF,DEN,159.8
Tyrell Williams,WR,DET,160.0
Tua Tagovailoa,QB,MIA,160.6
Kirk Cousins,QB,MIN,160.9
Malcolm Brown,RB,MIA,161.7
DeVante Parker,WR,MIA,162.3
Ryan Fitzpatrick,QB,WAS,163.3
Deshaun Watson,QB,HOU,163.6
Matt Gay,PK,LAR,163.8
Robbie Gould,PK,SF,165.1
Carson Wentz,QB,IND,167.1
Wil Lutz,PK,NO,168.0
Nelson Agholor,WR,NE,170.7
Marquez Valdes-Scantling,WR,GB,170.9
Carlos Hyde,RB,JAX,172.7
Kansas City Defense,DEF,KC,173.2
Daniel Carlson,PK,LV,173.7
Jason Myers,PK,SEA,174.0
