eval_season,position,stat,n_games,stack_mae,stack_rmse,stack_crps,naive_mae,rolling_mae,coverage_80,coverage_50,baseline_improvement_pct
2021,RB,receiving_yards,1511,8.832009808675988,13.40251952471316,6.898886193705892,12.792989540171538,12.792989540171538,0.9027134348113832,0.7888815354070152,30.962111858667544
2021,RB,receptions,1511,1.1826315360297164,1.6958532101259816,1.074448434645151,1.4153586683948063,1.4153586683948063,0.9662475181998676,0.8477829252150894,16.442979264685718
2021,RB,receiving_tds,1511,0.08024624332984957,0.19743890368554212,0.15654475789508587,0.13641209565866666,0.13641209565866666,0.9761747187293184,0.9338186631369954,41.173659899893714
2021,RB,targets,1511,1.421945999414181,2.0286934495346656,1.2795066504594985,1.630958265044183,1.630958265044183,0.9682329583057577,0.8332230311052283,12.815304358774613
2022,RB,rushing_yards,1587,29.257564477403925,42.36368043955141,22.38516737711401,22.93606362638648,22.93606362638648,0.7038437303087587,0.31947069943289225,-27.561402662595334
2022,RB,carries,1587,3.5083694413209985,4.51970984334859,2.9586731151928656,4.054245874609256,4.054245874609256,0.9741650913673598,0.8720856962822936,13.464314947126105
2022,RB,rushing_tds,1587,0.30178034685207,0.4701776890645972,0.3378656718652743,0.3355836093838269,0.3355836093838269,0.9697542533081286,0.9130434782608695,10.072977817308745
2022,RB,receiving_yards,1587,10.865656506067522,16.751068345596718,8.328199847510367,11.07248955486767,11.07248955486767,0.8582230623818525,0.7429111531190926,1.86799046208375
2022,RB,receptions,1587,1.4321156083307223,2.1241022551591775,1.2251514532174173,1.2786969862041082,1.2786969862041082,0.9243856332703214,0.7611846250787649,-11.998043616419775
2022,RB,receiving_tds,1587,0.08609745612741398,0.2483397976850419,0.16599045870768478,0.11891881190465785,0.11891881190465785,0.947069943289225,0.947069943289225,27.59980128590429
2022,RB,targets,1587,1.8252243972119147,2.7000144059909537,1.5331416032427794,1.5034789266864577,1.5034789266864577,0.9193446754883428,0.77882797731569,-21.400065196427942
